id_ec,tx_empresa
436abf9d6e0a59a1c5469bb76799dd06,0.03
07d5127af0c495e11f097576b8b5fdab,0.04
9e0be692a599b5a2da169f69c2d47408,0.04
0e8d2a533d63d8049c0e5432a01a62d1,0.05
302ca91038fdfcf792c026ba9b87d8fd,0.04
97e0253d3ce4eef53128243e5dd3444f,0.02
2b9660b0c312de4e03461245826e7f11,0.03
55924a878c51bd315ef324314571bc97,0.05
5257af79c1c59f5ef77ae829e5811a10,0.05
77e77255317e74ff543e71241480b68f,0.03
fee40788d15164702275f8e1687e116c,0.05
c6ebd757096e465d65b5040a9ecb443b,0.05
43b60ee4bfcd57dea000671ba96d1e22,0.03
123bf1702135cdd70e0ce0f9d2e663cd,0.05
b623890e4fc5f365421c661dc0f35350,0.02
6e1f32dce98836c98b25e052c526c693,0.04
a187bc615b26818b93d78aae4b5d983f,0.02
f5f3463ff2b883acc3aa94a9c1e8220e,0.04
2a7075d80e1b539ff160c710542bb13f,0.05
13f5eb8419edfc556d5aa00a12d71149,0.03
8ad70d650f975363abcb429bb0f592f1,0.04
96ead41960133d9888b5b06682504c6b,0.04
8d7211f705f63c7380abb9a133939db4,0.03
4ca005b94adb956cfe4bc1b99b608222,0.04
75a79fe43e4905e5896f1788aa763749,0.04
3192898e17b1478e8d90f4b0c58473b1,0.03
8ea8259b87b9766c059d0c395d4dcca1,0.02
cc310fa189dbd0a6e6ffde4684a3a2bf,0.03
bb7ebba65db01a6c36a73af6e9d07d8e,0.03
d38131cf81e9a8cbb41fe34b0abc387a,0.05
55d302127bbda1b3fc1d8093aa6b03d5,0.05
3aef8e4507437d6b4b201d525d4b7a67,0.03
8480641fc6e8950b3b015408727bbd0d,0.02
bb3b238a78990af516efb9ddeb40953c,0.02
300d9dd58e4a264df24b2d8b23229759,0.03
4fa79329a09369b9bcec9b826b017ef8,0.03
9bade08285454546624e00234c81221d,0.02
8c9e635a47b55b65a5a241371040aa36,0.03
f9dc23e3a19ebe38dd74607aea62d236,0.05
f6aa034c66a1735838890f37bdfcedb3,0.03
9f8d25621c8d31082cb23ee342c80900,0.03
f2545db01ac22a5fd588a7c010c971af,0.04
0bb2e9674a32d1ab66ab904aa60d0940,0.03
ac70a139d4e901cdc5d819ae98dbb43e,0.04
