id_trabalhador,aceita_recomendacao,aceita_termo,dat_nascimento,dsc_idade,dsc_sexo
a1eca757e8108cd5575dd44978d54700,1,1,1969-03-14,56,Não informado
797f19e1274c1c8bc063048c9e04fdc4,1,1,1974-04-05,51,Não informado
4127ec37de3e7311b217cc6f921955e6,1,1,2003-04-22,22,Masculino
e01ea8daa3d5c9c396c04bcede9582a4,1,1,1995-05-07,30,Não informado
a558bbdc5660e51dc6baaf63a5236433,0,0,1986-01-14,39,Não informado
98fa0e12fa48db69c80b564b80ae0d67,0,1,1983-02-08,42,Não informado
3c8ccaec9edc9acf773519980326ac13,1,1,1974-03-20,51,Masculino
e7c09d2351678834ae464255afffc9a8,1,1,1986-11-06,38,Masculino
8149ce6e49f29a692b5eeebc13bf7ec5,1,1,1982-02-10,43,Não informado
8a3ad7c830559bebb0c49a268c3866ff,1,1,1983-05-08,42,Não informado
382801db32b24b4a1a71dcd268182a39,1,1,1985-10-06,39,Não informado
68cb322927a751606fa7f852e0425ba0,0,0,1984-09-26,40,Não informado
b1cfc3efcdbe918553b9e8af51402497,0,0,1990-02-22,35,Não informado
b583502c988e871b56eedcc2e5db8805,1,1,1977-06-29,47,Não informado
b369aa2ef3b79dfdd78ccb3c753e8716,1,1,1989-06-23,35,Não informado
582faf8f4c69a9893f1b7fb94a3ec3ef,1,1,1998-05-15,27,Masculino
1273940c48f4fd30ba9ac2e3f023be37,1,1,1957-01-07,68,Não informado
88efe966b6d145330a8b19bb88d49c89,1,1,1972-07-17,52,Não informado
271015ab93ed8b06d31ccccccc83461f,0,0,1990-06-09,34,Não informado
ebd790142e1cf73c71ca29533fd6e81d,0,0,1979-08-01,45,Feminino
a4932b423410d608933c52e180939851,0,0,1963-12-12,61,Não informado
fae29aa82bbf818a27bb98e0b21ca182,1,1,1980-03-19,45,Não informado
178ec034b3e9b771364843aa8578ccf9,1,1,1984-01-30,41,Não informado
3deb4f0b61b50f4112bd7b5c787ed960,1,1,1981-05-27,43,Não informado
4cc30d86e1225c91e069855b9b1988dc,1,1,1967-10-12,57,Não informado
c5ca02457314defd36d47399103a9bd6,1,1,1969-01-18,56,Feminino
cdb88da2f45c5b101937c0b8813c86bf,1,1,1966-04-23,59,Masculino
33330cb9afdf66b9c497a723f7c1115b,1,1,1989-02-28,36,Masculino
d3e3e55ce0c3fe7646777ef94a198e04,1,1,1993-07-20,31,Feminino
dc45410dcd5fae1c98a0ba5d01b4ea73,0,0,1993-04-13,32,Masculino
3d6b4d43e6f907fd90870e830f34f229,0,0,1974-08-21,50,Não informado
a2c9eade07f974d7833d2401d2ec3cf9,1,1,1962-11-08,62,Não informado
9a5a38273dbf9d51db1b457426e1b346,1,1,1965-09-11,59,Não informado
fd415db3fe63df7547abe54587975e49,1,1,1973-10-26,51,Masculino
8d14305af4c589cf4b64ba0459735ba9,1,1,1995-01-07,30,Não informado
f675f0bbb015ee2d429914b5c0cd1c7b,1,1,1985-11-09,39,Não informado
400cf415e7e64b31476d7924dc362746,0,1,2004-04-22,21,Não informado
f6cbe3c3c380d542854a29a05c130e7b,1,1,1976-03-15,49,Não informado
5bcfc4db315b99220187c95307c562b4,0,0,2000-03-11,25,Não informado
f3d6555d5805ae2b7d2a79ebfec07025,0,0,1988-05-11,37,Não informado
cfeef56ac80e543151bafeaf54648e92,0,0,1978-03-18,47,Não informado
4eaa88e8c38e038ac1ad4a77e4be9551,1,1,1995-05-18,30,Não informado
e950f8e94a30c887e21c4a2946d20823,1,1,1965-11-15,59,Não informado
f9b3a1d9ed5bfa011eea8433ae7b5a51,1,1,2002-01-18,23,Feminino
572e5d47f7b63b5d2c423e70ced5b02c,1,1,1964-02-23,61,Não informado
d99fd4ff08e997386b83f7021c5cad1b,1,1,1992-05-10,33,Não informado
5688a333a14e48d428be3d033e839845,1,1,1972-02-11,53,Feminino
17276b3b138fdd10767d1176b9169065,1,1,1960-12-05,64,Feminino
651c3fab7e5f6e827a8b2e2a0ac00165,0,0,1996-01-04,29,Não informado
a6469bded4253810ff47d00f0293812c,1,1,1966-01-29,59,Masculino
82cca510c01baaa1b2fa17d0cfbca153,0,0,1963-09-21,61,Não informado
09eb57d20f7256b7d8feb39c4c0cc89e,1,1,1982-07-03,42,Não informado
ae1b99fe9f4212d1ad5c75fc8579f8ef,1,1,1979-12-11,45,Não informado
fdbf9da84d611386d8506900575a0ba1,1,1,1971-12-30,53,Não informado
719600891a4df786ceb5d98b4f163faa,1,1,1975-12-29,49,Feminino
db209ba8dd230337f5e4480c6d80b2f2,1,1,1977-04-03,48,Feminino
5dde3d2c73edc3c1fbc3103b461876f1,0,0,1984-07-21,40,Masculino
78f21664d335f47031499ff7e8d1e9e6,0,0,1978-11-18,46,Feminino
95f4bffd3e20bc8a0123c09f7263b8d4,1,1,2000-05-26,24,Não informado
767fbd582ddfcbf64e2a33932a12c6d9,1,1,1974-03-28,51,Masculino
